"date","state","recover"
2020-11-09,"PERLIS",NA
2020-11-09,"KEDAH",NA
2020-11-09,"PULAU PINANG",NA
2020-11-09,"PERAK",2
2020-11-09,"SELANGOR",NA
2020-11-09,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-11-09,"NEGERI SEMBILAN",NA
2020-11-09,"MELAKA",2
2020-11-09,"JOHOR",0
2020-11-09,"PAHANG",NA
2020-11-09,"TERENGGANU",NA
2020-11-09,"KELANTAN",NA
2020-11-09,"SABAH",NA
2020-11-09,"SARAWAK",NA
2020-11-09,"WP LABUAN",NA
2020-11-10,"PERLIS",NA
2020-11-10,"KEDAH",NA
2020-11-10,"PULAU PINANG",NA
2020-11-10,"PERAK",NA
2020-11-10,"SELANGOR",NA
2020-11-10,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-11-10,"NEGERI SEMBILAN",NA
2020-11-10,"MELAKA",NA
2020-11-10,"JOHOR",NA
2020-11-10,"PAHANG",NA
2020-11-10,"TERENGGANU",NA
2020-11-10,"KELANTAN",NA
2020-11-10,"SABAH",NA
2020-11-10,"SARAWAK",NA
2020-11-10,"WP LABUAN",NA
2020-11-11,"PERLIS",0
2020-11-11,"KEDAH",5
2020-11-11,"PULAU PINANG",18
2020-11-11,"PERAK",3
2020-11-11,"SELANGOR",98
2020-11-11,"WP KUALA LUMPUR/PUTRAJAYA",0
2020-11-11,"NEGERI SEMBILAN",36
2020-11-11,"MELAKA",0
2020-11-11,"JOHOR",5
2020-11-11,"PAHANG",0
2020-11-11,"TERENGGANU",10
2020-11-11,"KELANTAN",0
2020-11-11,"SABAH",553
2020-11-11,"SARAWAK",16
2020-11-11,"WP LABUAN",25
2020-11-12,"PERLIS",NA
2020-11-12,"KEDAH",NA
2020-11-12,"PULAU PINANG",NA
2020-11-12,"PERAK",NA
2020-11-12,"SELANGOR",NA
2020-11-12,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-11-12,"NEGERI SEMBILAN",NA
2020-11-12,"MELAKA",NA
2020-11-12,"JOHOR",NA
2020-11-12,"PAHANG",NA
2020-11-12,"TERENGGANU",NA
2020-11-12,"KELANTAN",NA
2020-11-12,"SABAH",NA
2020-11-12,"SARAWAK",NA
2020-11-12,"WP LABUAN",NA
2020-11-13,"PERLIS",0
2020-11-13,"KEDAH",14
2020-11-13,"PULAU PINANG",113
2020-11-13,"PERAK",3
2020-11-13,"SELANGOR",154
2020-11-13,"WP KUALA LUMPUR/PUTRAJAYA",0
2020-11-13,"NEGERI SEMBILAN",82
2020-11-13,"MELAKA",0
2020-11-13,"JOHOR",3
2020-11-13,"PAHANG",0
2020-11-13,"TERENGGANU",6
2020-11-13,"KELANTAN",0
2020-11-13,"SABAH",447
2020-11-13,"SARAWAK",3
2020-11-13,"WP LABUAN",75
2020-11-14,"PERLIS",0
2020-11-14,"KEDAH",4
2020-11-14,"PULAU PINANG",42
2020-11-14,"PERAK",42
2020-11-14,"SELANGOR",209
2020-11-14,"WP KUALA LUMPUR/PUTRAJAYA",3
2020-11-14,"NEGERI SEMBILAN",71
2020-11-14,"MELAKA",1
2020-11-14,"JOHOR",0
2020-11-14,"PAHANG",0
2020-11-14,"TERENGGANU",4
2020-11-14,"KELANTAN",0
2020-11-14,"SABAH",358
2020-11-14,"SARAWAK",15
2020-11-14,"WP LABUAN",54
2020-11-15,"PERLIS",NA
2020-11-15,"KEDAH",NA
2020-11-15,"PULAU PINANG",NA
2020-11-15,"PERAK",NA
2020-11-15,"SELANGOR",NA
2020-11-15,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-11-15,"NEGERI SEMBILAN",NA
2020-11-15,"MELAKA",NA
2020-11-15,"JOHOR",NA
2020-11-15,"PAHANG",NA
2020-11-15,"TERENGGANU",NA
2020-11-15,"KELANTAN",NA
2020-11-15,"SABAH",NA
2020-11-15,"SARAWAK",NA
2020-11-15,"WP LABUAN",NA
2020-11-16,"PERLIS",0
2020-11-16,"KEDAH",0
2020-11-16,"PULAU PINANG",40
2020-11-16,"PERAK",6
2020-11-16,"SELANGOR",189
2020-11-16,"WP KUALA LUMPUR/PUTRAJAYA",98
2020-11-16,"NEGERI SEMBILAN",92
2020-11-16,"MELAKA",2
2020-11-16,"JOHOR",6
2020-11-16,"PAHANG",0
2020-11-16,"TERENGGANU",2
2020-11-16,"KELANTAN",0
2020-11-16,"SABAH",372
2020-11-16,"SARAWAK",5
2020-11-16,"WP LABUAN",9
2020-11-17,"PERLIS",NA
2020-11-17,"KEDAH",NA
2020-11-17,"PULAU PINANG",NA
2020-11-17,"PERAK",NA
2020-11-17,"SELANGOR",NA
2020-11-17,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-11-17,"NEGERI SEMBILAN",NA
2020-11-17,"MELAKA",NA
2020-11-17,"JOHOR",NA
2020-11-17,"PAHANG",NA
2020-11-17,"TERENGGANU",NA
2020-11-17,"KELANTAN",NA
2020-11-17,"SABAH",NA
2020-11-17,"SARAWAK",NA
